
tweet,sentiment
I love this app,positive
This app is amazing,positive
I really like this app,positive
Fantastic experience,positive
This is wonderful,positive
Best product ever,positive
I am very happy,positive
Excellent service,positive
I enjoyed using this,positive
Very good performance,positive
I feel great today,positive
The movie was awesome,positive
Absolutely loved it,positive
This works perfectly,positive
Highly recommended,positive
I appreciate this feature,positive
This phone is excellent,positive
The game is very fun,positive
I am satisfied with the purchase,positive
Everything looks beautiful,positive
I hate this app,negative
Worst app ever,negative
Very bad experience,negative
I dislike this product,negative
This is terrible,negative
Completely useless,negative
I am very angry,negative
Poor customer support,negative
The service is awful,negative
This app keeps crashing,negative
I regret buying this,negative
Very disappointing,negative
The movie was boring,negative
This phone is horrible,negative
I feel frustrated,negative
Waste of money,negative
Nothing works properly,negative
The update ruined everything,negative
I am unhappy with this,negative
Extremely bad performance,negative
Today is Monday,neutral
I am going to school,neutral
The meeting starts at 5 PM,neutral
I bought a new laptop,neutral
The weather is normal,neutral
This is my phone,neutral
The train arrived on time,neutral
I am learning Python,neutral
The event starts tomorrow,neutral
The battery is at 50 percent,neutral
